Ward,Searches,"Searches which got estimate","Searches for Quotes","Searches which got Quotes",Bookings,"Completed Trips","Search-to-estimate Rate","Rider Fare Acceptance Rate","Driver Quote Acceptance Rate","Quote-to-Booking Rate",Cancelled Bookings,"Booking Cancellation Rate","Driver Cancellation Rate","User Cancellation Rate","Conversion Rate","Driver's Earnings","Average Distance per Trip (km)","Average Fare per Trip","Distance Travelled (km)"
Ulsoor,"23,13,107","22,37,264","19,68,590","9,00,652","8,92,127","5,47,318",96.7%,88.0%,45.8%,99.1%,"3,44,669",38.6%,23.1%,15.4%,23.7%,"₹7,85,52,037",7.37,₹143.52,"40,33,865"
Shakambari Nagar,"15,12,804","14,88,425","11,32,715","7,65,504","7,55,828","5,23,163",98.4%,76.1%,67.6%,98.7%,"2,32,539",30.8%,17.1%,13.6%,34.6%,"₹6,31,83,406",6.24,₹120.77,"32,65,305"
Mahadevapura,"21,41,144","20,74,051","17,21,831","8,17,423","8,10,635","5,09,685",96.9%,83.0%,47.5%,99.2%,"3,00,834",37.1%,23.3%,13.7%,23.8%,"₹7,94,49,504",8.16,₹155.88,"41,59,962"
Dodda Nekkundi,"22,93,313","22,16,922","18,50,163","8,39,254","8,31,191","5,09,073",96.7%,83.5%,45.4%,99.0%,"3,21,989",38.7%,23.7%,14.9%,22.2%,"₹8,67,98,173",9.05,₹170.50,"46,07,582"
AECS Layout,"26,46,616","25,58,970","21,70,545","8,54,828","8,46,994","5,07,543",96.7%,84.8%,39.4%,99.1%,"3,39,311",40.1%,24.6%,15.3%,19.2%,"₹8,52,43,888",8.75,₹167.95,"44,40,657"
C V Raman Nagar,"19,28,011","18,68,870","15,46,951","7,94,479","7,87,523","5,01,795",96.9%,82.8%,51.4%,99.1%,"2,85,612",36.3%,22.7%,13.5%,26.0%,"₹7,11,54,078",7.40,₹141.80,"37,12,351"
Byatarayanapura,"14,38,822","14,16,241","10,73,107","7,44,770","7,36,713","4,94,276",98.4%,75.8%,69.4%,98.9%,"2,42,341",32.9%,20.0%,12.8%,34.4%,"₹8,05,04,988",8.78,₹162.87,"43,38,923"
HSR - Singasandra,"20,66,364","19,96,309","16,37,259","8,31,627","8,20,728","4,84,200",96.6%,82.0%,50.8%,98.7%,"3,36,397",41.0%,24.1%,16.8%,23.4%,"₹7,25,34,757",7.93,₹149.80,"38,39,900"
Babusab Palya,"17,49,339","17,06,669","14,15,214","7,47,593","7,40,186","4,83,519",97.6%,82.9%,52.8%,99.0%,"2,56,556",34.7%,21.9%,12.7%,27.6%,"₹6,75,15,528",7.30,₹139.63,"35,28,767"
Subramanyapura,"13,46,337","13,24,664","10,12,994","6,72,845","6,64,479","4,63,762",98.4%,76.5%,66.4%,98.8%,"2,00,620",30.2%,19.6%,10.4%,34.4%,"₹6,62,77,005",7.78,₹142.91,"36,05,988"
Vishveshwara Puram,"15,10,651","14,83,489","11,23,105","7,16,788","7,08,986","4,62,591",98.2%,75.7%,63.8%,98.9%,"2,46,286",34.7%,19.3%,15.3%,30.6%,"₹5,69,51,334",6.41,₹123.11,"29,66,145"
Jnana Bharathi,"11,90,448","11,79,016","8,23,875","6,64,921","6,57,130","4,61,803",99.0%,69.9%,80.7%,98.8%,"1,95,221",29.7%,17.3%,12.3%,38.8%,"₹6,08,98,965",7.14,₹131.87,"32,98,342"
Jogupalya,"14,21,557","13,84,528","11,93,722","6,64,849","6,58,013","4,46,399",97.4%,86.2%,55.7%,99.0%,"2,11,500",32.1%,18.9%,13.1%,31.4%,"₹5,71,66,416",6.50,₹128.06,"29,00,790"
Kalena Agrahara,"17,28,086","16,77,084","13,55,897","6,67,686","6,60,210","4,34,450",97.0%,80.8%,49.2%,98.9%,"2,25,663",34.2%,21.1%,12.9%,25.1%,"₹7,65,16,264",9.62,₹176.12,"41,80,221"
Sarakki,"12,13,845","11,95,804","9,37,580","6,50,967","6,42,477","4,29,959",98.5%,78.4%,69.4%,98.7%,"2,12,406",33.1%,18.4%,14.6%,35.4%,"₹5,23,32,559",6.22,₹121.72,"26,76,399"
Kogilu,"12,87,073","12,67,551","8,57,378","6,41,872","6,32,106","4,29,336",98.5%,67.6%,74.9%,98.5%,"2,02,688",32.1%,18.8%,13.2%,33.4%,"₹8,31,30,161",10.93,₹193.62,"46,93,089"
Rajarajeshwari Nagar,"10,59,829","10,49,359","7,29,049","5,96,507","5,88,286","4,23,819",99.0%,69.5%,81.8%,98.6%,"1,64,380",27.9%,17.1%,10.8%,40.0%,"₹6,12,40,478",7.96,₹144.50,"33,72,060"
