Ward,Searches,"Searches which got estimate","Searches for Quotes","Searches which got Quotes",Bookings,"Completed Trips","Search-to-estimate Rate","Rider Fare Acceptance Rate","Driver Quote Acceptance Rate","Quote-to-Booking Rate",Cancelled Bookings,"Booking Cancellation Rate","Driver Cancellation Rate","User Cancellation Rate","Conversion Rate","Driver's Earnings","Average Distance per Trip (km)","Average Fare per Trip","Distance Travelled (km)"
Puneet Rajkumar,"1,55,485","1,54,045","1,02,604","85,426","84,507","58,874",99.1%,66.6%,83.3%,98.9%,"25,619",30.3%,16.8%,13.3%,37.9%,"₹71,28,451",6.53,₹121.08,"3,84,702"
Ranadheera Kanteerava,"1,73,973","1,71,669","1,10,071","87,986","86,936","58,276",98.7%,64.1%,79.9%,98.8%,"28,641",32.9%,18.1%,14.7%,33.5%,"₹70,92,096",6.57,₹121.70,"3,82,742"
Rajagopal Nagar,"1,73,122","1,69,759","1,17,389","84,966","84,085","56,745",98.1%,69.2%,72.4%,99.0%,"27,329",32.5%,18.4%,14.0%,32.8%,"₹76,20,900",7.32,₹134.30,"4,15,480"
Hongasandra,"2,33,138","2,26,423","1,79,019","90,657","89,865","53,565",97.1%,79.1%,50.6%,99.1%,"36,289",40.4%,25.3%,15.0%,23.0%,"₹81,83,331",8.22,₹152.77,"4,40,070"
Dayananda Nagar,"1,46,434","1,44,634","1,04,886","79,684","78,974","52,959",98.8%,72.5%,76.0%,99.1%,"26,003",32.9%,19.0%,13.8%,36.2%,"₹60,72,899",6.02,₹114.67,"3,18,554"
Azad Nagar,"1,66,500","1,63,833","1,18,920","85,547","84,644","52,538",98.4%,72.6%,71.9%,98.9%,"32,083",37.9%,23.8%,14.0%,31.6%,"₹65,05,822",6.68,₹123.83,"3,50,839"
Nayandahalli,"1,68,816","1,66,926","1,06,345","80,805","79,942","50,352",98.9%,63.7%,76.0%,98.9%,"29,575",37.0%,21.4%,15.5%,29.8%,"₹71,72,893",7.79,₹142.45,"3,92,215"
Muneshwara Nagar,"1,87,150","1,83,743","1,36,045","80,190","79,709","44,715",98.2%,74.0%,58.9%,99.4%,"34,978",43.9%,27.8%,15.9%,23.9%,"₹54,49,237",6.30,₹121.87,"2,81,488"
Mudalapalya,"1,21,128","1,20,142","74,510","63,712","62,955","44,059",99.2%,62.0%,85.5%,98.8%,"18,885",30.0%,16.2%,13.6%,36.4%,"₹57,16,931",7.08,₹129.76,"3,12,064"
Mallasandra,"1,34,577","1,32,148","92,009","65,233","64,497","42,979",98.2%,69.6%,70.9%,98.9%,"21,510",33.4%,19.9%,13.3%,31.9%,"₹54,76,509",6.86,₹127.42,"2,94,708"
Jai Maruthinagara,"1,20,636","1,19,509","79,130","64,640","63,798","42,484",99.1%,66.2%,81.7%,98.7%,"21,303",33.4%,19.4%,13.8%,35.2%,"₹50,99,210",6.46,₹120.03,"2,74,658"
Sunkadakatte,"1,20,105","1,18,514","73,999","61,085","60,408","39,806",98.7%,62.4%,82.5%,98.9%,"20,587",34.1%,19.0%,14.9%,33.1%,"₹52,37,203",7.22,₹131.57,"2,87,579"
Veera Sindhura Lakshamana,"1,19,477","1,17,909","74,067","59,299","58,522","38,886",98.7%,62.8%,80.1%,98.7%,"19,627",33.5%,18.5%,14.9%,32.5%,"₹49,19,961",6.90,₹126.52,"2,68,496"
Kaveripura,"1,09,322","1,08,065","71,259","58,214","57,687","37,444",98.9%,65.9%,81.7%,99.1%,"20,239",35.1%,20.8%,14.1%,34.3%,"₹52,77,270",7.76,₹140.94,"2,90,393"
S K Garden,"1,59,227","1,55,738","1,21,487","64,047","63,740","34,898",97.8%,78.0%,52.7%,99.5%,"28,829",45.2%,29.7%,15.4%,21.9%,"₹43,19,286",6.40,₹123.77,"2,23,506"
Hegganahalli,"1,07,354","1,05,859","67,691","53,884","53,220","34,636",98.6%,63.9%,79.6%,98.8%,"18,577",34.9%,20.0%,14.8%,32.3%,"₹47,41,324",7.55,₹136.89,"2,61,511"
Rajeshwari Nagar,"1,04,976","1,03,287","64,877","50,533","49,723","32,375",98.4%,62.8%,77.9%,98.4%,"17,338",34.9%,19.9%,14.9%,30.8%,"₹41,21,536",6.92,₹127.31,"2,24,072"
Vrisabhavathi Nagar,"97,345","96,341","60,021","49,645","49,119","32,313",99.0%,62.3%,82.7%,98.9%,"16,798",34.2%,19.9%,14.1%,33.2%,"₹40,89,694",6.88,₹126.56,"2,22,408"
Jagajivanaram Nagar,"1,17,395","1,15,506","83,144","57,590","56,959","31,304",98.4%,72.0%,69.3%,98.9%,"25,650",45.0%,27.5%,17.4%,26.7%,"₹42,85,576",7.46,₹136.90,"2,33,632"
Chalavadipalya,"1,08,671","1,06,639","76,669","49,723","49,375","27,663",98.1%,71.9%,64.9%,99.3%,"21,701",44.0%,27.2%,16.6%,25.5%,"₹37,43,861",7.26,₹135.34,"2,00,904"
Lakshmi Devi Nagar,"73,565","72,687","45,730","37,165","36,775","24,241",98.8%,62.9%,81.3%,99.0%,"12,529",34.1%,19.6%,14.3%,33.0%,"₹30,30,491",6.78,₹125.02,"1,64,379"
Bapuji Nagar,"92,474","91,323","61,954","45,629","45,317","23,693",98.8%,67.8%,73.6%,99.3%,"21,618",47.7%,31.9%,15.6%,25.6%,"₹30,05,466",6.76,₹126.85,"1,60,150"
Padarayanapura,"96,108","94,632","66,158","44,051","43,553","22,962",98.5%,69.9%,66.6%,98.9%,"20,582",47.3%,28.5%,18.5%,23.9%,"₹32,44,770",7.55,₹141.31,"1,73,361"
Kempapura Agrahara,"69,315","68,320","45,380","33,406","33,127","19,391",98.6%,66.4%,73.6%,99.2%,"13,732",41.5%,25.5%,15.8%,28.0%,"₹23,06,221",6.34,₹118.93,"1,22,980"
Devaraj Urs Nagar,"83,371","81,993","56,588","38,448","38,049","18,691",98.3%,69.0%,67.9%,99.0%,"19,354",50.9%,32.4%,18.3%,22.4%,"₹24,97,278",7.09,₹133.61,"1,32,537"
Devara Jeevanahalli,"58,368","56,972","43,686","22,707","22,605","9,728",97.6%,76.7%,52.0%,99.6%,"12,873",56.9%,41.6%,15.2%,16.7%,"₹13,50,728",7.39,₹138.85,"71,891"
