ward,searches,searches_with_estimate,searches_for_quotes,searches_with_quotes,bookings,completed_trips,search_to_estimate_rate,rider_fare_acceptance_rate,driver_quote_acceptance_rate,quote_to_booking_rate,cancelled_bookings,booking_cancellation_rate,driver_cancellation_rate,user_cancellation_rate,conversion_rate,driver_earnings,avg_distance,avg_fare,distance_travelled_km,earnings_per_km,supply_gap,revenue_leakage,reliability_score
Maruthi Mandir ward,214457.0,212684.0,140160.0,121293.0,119454.0,88240.0,0.992,0.659,0.865,0.985,31191.0,0.261,0.142,0.11800000000000001,0.41100000000000003,11459517.0,7.03,129.87,620436.0,18.470103282207997,93164.0,-11245271.8,0.74217
Avalahalli,248694.0,246229.0,168942.0,134185.0,132502.0,87935.0,0.99,0.6859999999999999,0.794,0.987,44551.0,0.336,0.196,0.139,0.354,12135892.0,7.52,138.01,661003.0,18.359813798121944,114509.0,-11887215.35,0.638376
Vidyamanyanagar,253129.0,249714.0,150748.0,125413.0,123286.0,86711.0,0.987,0.604,0.8320000000000001,0.983,36551.0,0.29600000000000004,0.163,0.132,0.34299999999999997,14061447.0,9.3,162.16,806365.0,17.438067128409592,127716.0,-13807926.76,0.696384
Hosahalli,207904.0,205553.0,140996.0,115116.0,113469.0,78968.0,0.9890000000000001,0.6859999999999999,0.816,0.986,34482.0,0.304,0.17,0.133,0.38,9999115.0,6.85,126.62,540553.0,18.497936372566613,92788.0,-9791024.16,0.6772799999999999
Shankar Matt,190547.0,189030.0,127812.0,109308.0,107992.0,78342.0,0.992,0.6759999999999999,0.855,0.988,29636.0,0.27399999999999997,0.151,0.122,0.41100000000000003,9737417.0,6.72,124.29,526344.0,18.500100694602768,81239.0,-9546580.18,0.725895
Vijayanagar,212560.0,210379.0,142297.0,113526.0,112144.0,77586.0,0.99,0.6759999999999999,0.7979999999999999,0.988,34542.0,0.308,0.17,0.136,0.365,8670979.0,5.82,111.76,451547.0,19.202827169707692,99034.0,-8458451.360000001,0.6623399999999999
Dodda Bidarakallu,269045.0,263878.0,164912.0,120187.0,118665.0,76180.0,0.981,0.625,0.7290000000000001,0.987,42465.0,0.358,0.19399999999999998,0.162,0.28300000000000003,12173721.0,9.05,159.8,689654.0,17.65192545827328,148858.0,-11904519.0,0.5875740000000002
Prakash Nagar,202571.0,200666.0,136905.0,110946.0,109617.0,75839.0,0.991,0.682,0.81,0.988,33763.0,0.308,0.172,0.135,0.374,9267611.0,6.47,122.2,491005.0,18.874779279233408,91625.0,-9064954.8,0.67068
Nelagadderanahalli,255566.0,249003.0,182788.0,119488.0,117858.0,75020.0,0.9740000000000001,0.7340000000000001,0.654,0.986,42814.0,0.363,0.207,0.155,0.294,10472096.0,7.69,139.59,576810.0,18.15519148419757,136078.0,-10216475.8,0.518622
Venkateshpura,304004.0,297695.0,231085.0,132031.0,131272.0,74462.0,0.9790000000000001,0.7759999999999999,0.5710000000000001,0.9940000000000001,56794.0,0.433,0.287,0.14400000000000002,0.245,8626366.0,5.88,115.85,437744.0,19.706417449468184,171973.0,-8322418.699999999,0.40712300000000007
