ward,searches,searches_with_estimate,searches_for_quotes,searches_with_quotes,bookings,completed_trips,search_to_estimate_rate,rider_fare_acceptance_rate,driver_quote_acceptance_rate,quote_to_booking_rate,cancelled_bookings,booking_cancellation_rate,driver_cancellation_rate,user_cancellation_rate,conversion_rate,driver_earnings,avg_distance,avg_fare,distance_travelled_km,earnings_per_km,supply_gap,revenue_leakage,reliability_score
Other Wards,13321104.0,12450998.0,8424655.0,4346977.0,4298457.0,2698430.0,0.935,0.677,0.516,0.9890000000000001,1599378.0,0.37200000000000005,0.209,0.162,0.203,636687126.0,12.92,235.95,34865339.0,18.26132039043131,8974127.0,-623373454.5,0.408156
Shantala Nagar,9166472.0,8835131.0,7860258.0,3171701.0,3134687.0,1809685.0,0.9640000000000001,0.89,0.40399999999999997,0.988,1324423.0,0.423,0.252,0.16899999999999998,0.19699999999999998,277440298.0,7.71,153.31,13950904.0,19.886904676571497,5994771.0,-268276335.35000002,0.30219199999999996
Doddakanahalli,6390886.0,6159774.0,5327466.0,2172867.0,2151225.0,1282160.0,0.9640000000000001,0.865,0.408,0.99,868646.0,0.40399999999999997,0.245,0.157,0.201,228195737.0,9.46,177.98,12124625.0,18.820849057187335,4218019.0,-221807950.79999998,0.30804
Koramangala,4087055.0,3963127.0,3441498.0,1814445.0,1788967.0,1175624.0,0.97,0.868,0.527,0.986,612975.0,0.34299999999999997,0.18899999999999997,0.152,0.28800000000000003,162574064.0,7.04,138.29,8275384.0,19.645500921769916,2272610.0,-158489987.95999998,0.427397
Agara,3970160.0,3833952.0,3285044.0,1768187.0,1744502.0,1170935.0,0.966,0.857,0.5379999999999999,0.987,573291.0,0.32899999999999996,0.18,0.147,0.295,164403114.0,7.27,140.4,8510243.0,19.318263180029053,2201973.0,-160429114.0,0.44116
Adugodi,4051943.0,3922611.0,3377119.0,1749716.0,1721864.0,1059328.0,0.968,0.861,0.518,0.9840000000000001,662039.0,0.384,0.21899999999999997,0.16399999999999998,0.261,153690637.0,7.32,145.08,7759271.0,19.807355227056767,2302227.0,-149635363.24,0.40455800000000003
Vasanth Nagar,3860631.0,3757961.0,3178312.0,1625006.0,1606009.0,1030663.0,0.973,0.846,0.511,0.988,575068.0,0.358,0.20800000000000002,0.149,0.267,145029710.0,7.38,140.71,7607003.0,19.065288918645095,2235625.0,-141163959.73000002,0.404712
Suddagunte Palya,4313262.0,4168076.0,3620980.0,1712704.0,1688750.0,958141.0,0.966,0.8690000000000001,0.473,0.986,730309.0,0.43200000000000005,0.243,0.188,0.222,132603737.0,7.22,138.4,6919926.0,19.162594657804146,2600558.0,-128293452.4,0.35806099999999996
Bellanduru,4797182.0,4597193.0,4063024.0,1594060.0,1576791.0,942577.0,0.958,0.884,0.392,0.9890000000000001,633937.0,0.402,0.25,0.151,0.196,170632768.0,9.73,181.03,9172276.0,18.603100037547932,3203122.0,-165837532.31,0.29400000000000004
Hoysala Nagar,2837669.0,2765691.0,2314862.0,1306822.0,1293276.0,891399.0,0.975,0.8370000000000001,0.565,0.99,401655.0,0.311,0.17600000000000002,0.133,0.314,112651152.0,6.3,126.38,5616724.0,20.056380196000372,1530847.0,-109817336.61999999,0.4655599999999999
HRBR Layout,2252400.0,2217840.0,1816543.0,1249405.0,1237384.0,885386.0,0.985,0.8190000000000001,0.688,0.99,351823.0,0.284,0.162,0.121,0.39299999999999996,110585029.0,6.37,124.9,5641368.0,19.602519991604872,1002995.0,-108332311.4,0.576544
Old Thippasandra,2454200.0,2394328.0,2076771.0,1204925.0,1191626.0,805453.0,0.976,0.867,0.58,0.9890000000000001,385942.0,0.324,0.184,0.138,0.32799999999999996,109109751.0,6.77,135.46,5456253.0,19.997194228346817,1249275.0,-106652463.38000001,0.47328
Domlur,2680093.0,2602961.0,2273687.0,1198406.0,1184986.0,798177.0,0.971,0.8740000000000001,0.527,0.9890000000000001,386582.0,0.326,0.184,0.141,0.298,112728566.0,7.07,141.23,5640829.0,19.984396974274524,1481687.0,-110046444.71,0.430032
Jakkuru,2717640.0,2662311.0,2088307.0,1243620.0,1228657.0,786577.0,0.98,0.784,0.596,0.988,441895.0,0.36,0.22,0.139,0.289,133830243.0,9.26,170.14,7287594.0,18.364118939666508,1474020.0,-131110570.77999999,0.46488
Byrasandra,2317805.0,2271229.0,1815154.0,1121214.0,1108822.0,762917.0,0.98,0.799,0.618,0.9890000000000001,345760.0,0.312,0.172,0.139,0.32899999999999996,93027016.0,6.3,121.94,4806494.0,19.354443384304652,1196591.0,-90712293.98,0.511704
Whitefield,3581819.0,3476280.0,2912674.0,1246483.0,1235636.0,750762.0,0.971,0.838,0.428,0.991,484691.0,0.392,0.243,0.14800000000000002,0.21,126253042.0,8.37,168.17,6281977.0,20.097660656828257,2335336.0,-122673826.53999999,0.323996
Marathahalli,4312403.0,4157855.0,3575491.0,1362784.0,1348431.0,741858.0,0.9640000000000001,0.86,0.381,0.9890000000000001,606330.0,0.45,0.275,0.17300000000000001,0.172,137336189.0,9.77,185.12,7244396.0,18.957576173362142,2949619.0,-133020349.96000001,0.276225
Sampangiram Nagar,3711112.0,3598456.0,3054167.0,1391688.0,1377921.0,737639.0,0.97,0.8490000000000001,0.456,0.99,640089.0,0.465,0.289,0.174,0.19899999999999998,112103849.0,8.03,151.98,5921591.0,18.931373173189435,2319424.0,-108395263.22,0.32421600000000006
Gandhinagar,2397263.0,2360067.0,1608129.0,1111887.0,1099282.0,691779.0,0.9840000000000001,0.6809999999999999,0.691,0.9890000000000001,407363.0,0.371,0.21100000000000002,0.159,0.289,110608841.0,8.56,159.89,5921636.0,18.67876394293739,1285376.0,-108211281.30999999,0.5451989999999999
Aramane Nagara,2080928.0,2043970.0,1590437.0,1040535.0,1025952.0,676200.0,0.982,0.778,0.654,0.986,349608.0,0.341,0.192,0.147,0.325,94832315.0,7.47,140.24,5048876.0,18.78285681803237,1040393.0,-92749360.0,0.528432
Horamavu,2270003.0,2222867.0,1778965.0,999755.0,989216.0,661673.0,0.9790000000000001,0.8,0.562,0.9890000000000001,327429.0,0.331,0.207,0.12300000000000001,0.29100000000000004,103909069.0,8.0,157.04,5295550.0,19.621959758665295,1270248.0,-101639124.92,0.44566600000000006
Hudi,2799945.0,2722382.0,2265746.0,1052046.0,1043373.0,636382.0,0.972,0.8320000000000001,0.46399999999999997,0.992,406810.0,0.39,0.249,0.14,0.22699999999999998,108687313.0,9.04,170.79,5750256.0,18.901299872562195,1747899.0,-105887736.78,0.348464
Kempapura,1927693.0,1892403.0,1460054.0,938189.0,926797.0,615068.0,0.982,0.772,0.643,0.988,311601.0,0.336,0.20199999999999999,0.133,0.319,94675017.0,8.32,153.93,5119783.0,18.491998000696515,989504.0,-92749724.24000001,0.5131140000000001
Jeevanbhima Nagar,2431231.0,2353269.0,2066690.0,993455.0,981083.0,604037.0,0.968,0.878,0.48100000000000004,0.988,376853.0,0.384,0.23199999999999998,0.151,0.248,94221894.0,8.13,155.99,4913807.0,19.174927708800936,1437776.0,-91792500.63000001,0.369408
J P Nagar,1876723.0,1840665.0,1476021.0,932871.0,921471.0,604022.0,0.981,0.802,0.632,0.988,317280.0,0.344,0.196,0.147,0.322,78581404.0,6.75,130.1,4075270.0,19.28250250903621,943852.0,-76706539.2,0.508128
Munnekollala,3736249.0,3587050.0,3130532.0,1096891.0,1085170.0,603995.0,0.96,0.873,0.35,0.9890000000000001,481005.0,0.44299999999999995,0.27899999999999997,0.163,0.162,112404934.0,9.91,186.1,5987411.0,18.773545694457923,2639358.0,-108667220.5,0.25235
Vinayakanagar,1942627.0,1898285.0,1552305.0,950334.0,939732.0,601798.0,0.977,0.818,0.612,0.9890000000000001,337780.0,0.359,0.209,0.15,0.31,84221413.0,7.31,139.95,4399117.0,19.145072295190147,992293.0,-82279003.1,0.484092
Banasavadi,1783495.0,1747141.0,1428486.0,861310.0,852169.0,592387.0,0.98,0.818,0.603,0.9890000000000001,259635.0,0.305,0.182,0.122,0.332,79600371.0,7.0,134.37,4148268.0,19.188820731929567,922185.0,-77815546.19,0.493254
Belathur,2298989.0,2249254.0,1745018.0,924663.0,916970.0,586296.0,0.978,0.7759999999999999,0.53,0.992,330531.0,0.36,0.223,0.13699999999999998,0.255,95418365.0,8.68,162.75,5090680.0,18.743736593146693,1374326.0,-93120685.0,0.41181
Pulikeshinagar,1803653.0,1767092.0,1473312.0,870244.0,862760.0,582854.0,0.98,0.8340000000000001,0.591,0.991,279769.0,0.324,0.187,0.136,0.32299999999999995,69172304.0,5.93,118.68,3456774.0,20.010652706830125,933409.0,-67369459.72,0.48048299999999994
Kalkere,2323573.0,2265018.0,1874102.0,874288.0,867314.0,580141.0,0.975,0.8270000000000001,0.467,0.992,287042.0,0.331,0.217,0.113,0.25,92679025.0,8.57,159.75,4972746.0,18.637393705610542,1449285.0,-90353951.75,0.365661
New Thippasandra,1952956.0,1897448.0,1614296.0,862152.0,853452.0,574914.0,0.972,0.851,0.534,0.99,278397.0,0.326,0.191,0.134,0.294,82950527.0,7.5,144.28,4314578.0,19.225640839034547,1090804.0,-80995635.92,0.432006
Madivala,2362327.0,2291450.0,1931415.0,970118.0,957186.0,574391.0,0.97,0.843,0.502,0.987,382637.0,0.4,0.22699999999999998,0.172,0.243,76377884.0,6.87,132.97,3948366.0,19.344175286688216,1392209.0,-74014444.27,0.388046
Hennur,1829151.0,1796252.0,1393827.0,867634.0,858950.0,561781.0,0.982,0.7759999999999999,0.622,0.99,297041.0,0.34600000000000003,0.20600000000000002,0.139,0.307,79034284.0,7.46,140.69,4190789.0,18.85904635141497,961517.0,-77207817.89,0.49386800000000003
Ejipura,2067727.0,2010716.0,1731865.0,915285.0,905525.0,552794.0,0.972,0.861,0.528,0.9890000000000001,352558.0,0.389,0.23,0.158,0.267,74228279.0,6.87,134.28,3799516.0,19.53624593237665,1152442.0,-72161451.32000001,0.40656000000000003
Ulsoor,2313107.0,2237264.0,1968590.0,900652.0,892127.0,547318.0,0.9670000000000001,0.88,0.45799999999999996,0.991,344669.0,0.386,0.231,0.154,0.237,78552037.0,7.37,143.52,4033865.0,19.47314473835887,1412455.0,-76237972.36,0.35220199999999996
Shakambari Nagar,1512804.0,1488425.0,1132715.0,765504.0,755828.0,523163.0,0.9840000000000001,0.7609999999999999,0.6759999999999999,0.987,232539.0,0.308,0.171,0.136,0.34600000000000003,63183406.0,6.24,120.77,3265305.0,19.34992473903663,747300.0,-61669591.51,0.5604039999999999
Mahadevapura,2141144.0,2074051.0,1721831.0,817423.0,810635.0,509685.0,0.9690000000000001,0.83,0.475,0.992,300834.0,0.371,0.233,0.13699999999999998,0.23800000000000002,79449504.0,8.16,155.88,4159962.0,19.098612920021864,1323721.0,-77308553.8,0.364325
Dodda Nekkundi,2293313.0,2216922.0,1850163.0,839254.0,831191.0,509073.0,0.9670000000000001,0.835,0.45399999999999996,0.99,321989.0,0.387,0.237,0.149,0.222,86798173.0,9.05,170.5,4607582.0,18.83811791086952,1454059.0,-84503633.5,0.346402
AECS Layout,2646616.0,2558970.0,2170545.0,854828.0,846994.0,507543.0,0.9670000000000001,0.848,0.39399999999999996,0.991,339311.0,0.401,0.24600000000000002,0.153,0.192,85243888.0,8.75,167.95,4440657.0,19.19623335015517,1791788.0,-82595230.85,0.29707599999999995
C V Raman Nagar,1928011.0,1868870.0,1546951.0,794479.0,787523.0,501795.0,0.9690000000000001,0.828,0.514,0.991,285612.0,0.363,0.22699999999999998,0.135,0.26,71154078.0,7.4,141.8,3712351.0,19.166850871590537,1133532.0,-69226520.0,0.397322
Byatarayanapura,1438822.0,1416241.0,1073107.0,744770.0,736713.0,494276.0,0.9840000000000001,0.758,0.6940000000000001,0.9890000000000001,242341.0,0.32899999999999996,0.2,0.128,0.344,80504988.0,8.78,162.87,4338923.0,18.55414073953375,694052.0,-79063910.12,0.5552
HSR - Singasandra,2066364.0,1996309.0,1637259.0,831627.0,820728.0,484200.0,0.966,0.82,0.508,0.987,336397.0,0.41,0.24100000000000002,0.168,0.23399999999999999,72534757.0,7.93,149.8,3839900.0,18.889751556030106,1234737.0,-70466796.0,0.385572
Babusab Palya,1749339.0,1706669.0,1415214.0,747593.0,740186.0,483519.0,0.976,0.8290000000000001,0.528,0.99,256556.0,0.34700000000000003,0.21899999999999997,0.127,0.276,67515528.0,7.3,139.63,3528767.0,19.132894861009525,1001746.0,-65764418.97,0.412368
Subramanyapura,1346337.0,1324664.0,1012994.0,672845.0,664479.0,463762.0,0.9840000000000001,0.765,0.664,0.988,200620.0,0.302,0.196,0.10400000000000001,0.344,66277005.0,7.78,142.91,3605988.0,18.37970758638132,673492.0,-64929890.42,0.5338560000000001
Vishveshwara Puram,1510651.0,1483489.0,1123105.0,716788.0,708986.0,462591.0,0.982,0.757,0.638,0.9890000000000001,246286.0,0.34700000000000003,0.193,0.153,0.306,56951334.0,6.41,123.11,2966145.0,19.200455136212152,793863.0,-55438927.01,0.5148659999999999
Jnana Bharathi,1190448.0,1179016.0,823875.0,664921.0,657130.0,461803.0,0.99,0.6990000000000001,0.807,0.988,195221.0,0.297,0.17300000000000001,0.12300000000000001,0.38799999999999996,60898965.0,7.14,131.87,3298342.0,18.463508332368203,525527.0,-59707513.61,0.667389
Jogupalya,1421557.0,1384528.0,1193722.0,664849.0,658013.0,446399.0,0.9740000000000001,0.862,0.557,0.99,211500.0,0.321,0.18899999999999997,0.131,0.314,57166416.0,6.5,128.06,2900790.0,19.7071887313456,756708.0,-55744298.94,0.45172700000000005
Kalena Agrahara,1728086.0,1677084.0,1355897.0,667686.0,660210.0,434450.0,0.97,0.8079999999999999,0.49200000000000005,0.9890000000000001,225663.0,0.342,0.21100000000000002,0.129,0.251,76516264.0,9.62,176.12,4180221.0,18.30435854946425,1060400.0,-74787248.0,0.388188
Sarakki,1213845.0,1195804.0,937580.0,650967.0,642477.0,429959.0,0.985,0.784,0.6940000000000001,0.987,212406.0,0.331,0.184,0.146,0.354,52332559.0,6.22,121.72,2676399.0,19.553347240078928,562878.0,-51120764.48,0.5663040000000001
Kogilu,1287073.0,1267551.0,857378.0,641872.0,632106.0,429336.0,0.985,0.6759999999999999,0.7490000000000001,0.985,202688.0,0.321,0.188,0.132,0.33399999999999996,83130161.0,10.93,193.62,4693089.0,17.713314407632158,645201.0,-81840963.32000001,0.6081880000000002
Rajarajeshwari Nagar,1059829.0,1049359.0,729049.0,596507.0,588286.0,423819.0,0.99,0.695,0.818,0.986,164380.0,0.27899999999999997,0.171,0.10800000000000001,0.4,61240478.0,7.96,144.5,3372060.0,18.161147191924226,463322.0,-60182016.5,0.6781219999999999
Hemmigepura,1294946.0,1273808.0,857160.0,624772.0,617879.0,422962.0,0.9840000000000001,0.6729999999999999,0.7290000000000001,0.9890000000000001,194828.0,0.315,0.18899999999999997,0.125,0.327,62072690.0,8.01,146.76,3389811.0,18.311548932964108,670174.0,-60778957.12,0.5912190000000002
A Narayanapura,1827096.0,1781266.0,1372600.0,712141.0,705809.0,422764.0,0.975,0.7709999999999999,0.519,0.991,282937.0,0.401,0.256,0.14400000000000002,0.231,66763869.0,7.85,157.92,3317922.0,20.122193650121975,1114955.0,-64935794.879999995,0.38613600000000003
Hulimavu,1481131.0,1447477.0,1150558.0,649682.0,642056.0,419976.0,0.977,0.795,0.565,0.988,221969.0,0.34600000000000003,0.198,0.147,0.284,60982452.0,7.71,145.2,3238512.0,18.830392476544784,831449.0,-59499384.199999996,0.45313
BTM Layout,1908793.0,1846577.0,1523628.0,710554.0,701448.0,413100.0,0.9670000000000001,0.825,0.466,0.987,288247.0,0.41100000000000003,0.243,0.16699999999999998,0.21600000000000003,57253428.0,7.21,138.59,2978400.0,19.22288074133763,1198239.0,-55342736.0,0.352762
Ibluru,1685255.0,1620397.0,1400389.0,653507.0,645676.0,409515.0,0.9620000000000001,0.8640000000000001,0.467,0.988,236060.0,0.366,0.21,0.154,0.243,64323136.0,8.29,157.07,3395168.0,18.94549430249107,1031748.0,-62637266.05,0.36893000000000004
Lingarajapura,1126374.0,1103293.0,931842.0,592475.0,587092.0,405997.0,0.98,0.845,0.636,0.991,181020.0,0.308,0.187,0.12,0.36,50467325.0,6.34,124.3,2572254.0,19.61988396169274,533899.0,-49339053.1,0.517068
Subhash Nagar,1388080.0,1369757.0,922363.0,651764.0,644056.0,404054.0,0.987,0.6729999999999999,0.7070000000000001,0.988,239933.0,0.373,0.212,0.159,0.29100000000000004,67726038.0,8.88,167.62,3588231.0,18.87449219406443,736316.0,-66339451.480000004,0.5571160000000001
N S Palya,1489650.0,1446804.0,1190829.0,625170.0,616975.0,400978.0,0.971,0.823,0.525,0.987,215898.0,0.35,0.19699999999999998,0.151,0.26899999999999996,55589370.0,7.27,138.63,2914351.0,19.074356520542654,864480.0,-54097930.14,0.42157500000000003
Rupenaagrahara,1662213.0,1611118.0,1323862.0,650352.0,642279.0,393304.0,0.9690000000000001,0.8220000000000001,0.491,0.988,248866.0,0.387,0.226,0.16,0.237,63074969.0,8.56,160.37,3365320.0,18.742636361475284,1011861.0,-61411949.480000004,0.380034
Kadu Malleshwara,927635.0,916801.0,701419.0,538224.0,532000.0,389005.0,0.988,0.765,0.767,0.988,142929.0,0.26899999999999996,0.147,0.12,0.419,51519931.0,7.11,132.44,2765004.0,18.63285948230093,389411.0,-50592187.199999996,0.654251
Amrutahalli,1190336.0,1165970.0,895941.0,582625.0,576629.0,383694.0,0.98,0.768,0.65,0.99,192854.0,0.33399999999999996,0.20600000000000002,0.127,0.322,61092514.0,8.65,159.22,3320240.0,18.400029515938606,607711.0,-59901422.68,0.5161
Konena Agrahara,1442790.0,1397576.0,1204922.0,588675.0,583352.0,379032.0,0.9690000000000001,0.862,0.489,0.991,204227.0,0.35,0.209,0.14,0.263,58246194.0,8.1,153.67,3069334.0,18.976818423801387,854115.0,-56803057.44,0.386799
Konanakunte,1100819.0,1085945.0,800787.0,577745.0,570209.0,376977.0,0.986,0.737,0.721,0.987,193159.0,0.33899999999999997,0.20199999999999999,0.135,0.342,49258153.0,6.84,130.67,2577577.0,19.110254708200763,523074.0,-48158765.589999996,0.575358
Lal Bahadur Nagar,1234601.0,1206640.0,936788.0,554125.0,548761.0,374615.0,0.977,0.7759999999999999,0.5920000000000001,0.99,174056.0,0.317,0.19699999999999998,0.11900000000000001,0.303,52574741.0,7.33,140.34,2746164.0,19.144792881998306,680476.0,-51338868.1,0.4753760000000001
Sunkenahalli,984146.0,969794.0,748652.0,535264.0,528788.0,371751.0,0.985,0.772,0.715,0.988,156981.0,0.297,0.162,0.134,0.37799999999999995,45516109.0,6.45,122.44,2399363.0,18.970080392170754,448882.0,-44533046.44,0.59917
Jalakanteshwara Nagara,1366037.0,1321587.0,1137539.0,519747.0,515983.0,356666.0,0.9670000000000001,0.861,0.457,0.993,159244.0,0.309,0.19,0.11800000000000001,0.261,52740705.0,7.72,147.87,2752560.0,19.160601403784113,846290.0,-51374164.42,0.37017000000000005
Radhakrishna Temple Ward,882889.0,871129.0,677807.0,506176.0,498856.0,352356.0,0.987,0.778,0.747,0.986,146414.0,0.293,0.168,0.124,0.39899999999999997,48997485.0,7.4,139.06,2608434.0,18.784253310607053,376713.0,-48115736.36,0.621504
Devasandra,1275182.0,1245448.0,1023191.0,577454.0,571946.0,351886.0,0.977,0.8220000000000001,0.564,0.99,219977.0,0.385,0.23199999999999998,0.151,0.276,58042913.0,8.55,164.95,3008064.0,19.29577063519925,697728.0,-56768413.699999996,0.433152
Maruthi Seva Nagar,1058064.0,1036132.0,851693.0,522549.0,518313.0,342723.0,0.9790000000000001,0.8220000000000001,0.614,0.992,175508.0,0.33899999999999997,0.203,0.135,0.324,46287821.0,7.05,135.06,2414658.0,19.169514274899385,535515.0,-45230104.38,0.48935799999999996
Nagapura,851478.0,843950.0,581810.0,479923.0,473734.0,330530.0,0.991,0.6890000000000001,0.825,0.987,143151.0,0.302,0.158,0.14300000000000002,0.38799999999999996,42780538.0,6.88,129.43,2273032.0,18.82091321195654,371555.0,-41929019.900000006,0.69465
Sanjaya Nagar,936313.0,922308.0,698856.0,478409.0,472474.0,329551.0,0.985,0.758,0.685,0.988,142843.0,0.302,0.182,0.11900000000000001,0.35200000000000004,47293661.0,7.74,143.51,2550285.0,18.544461109248573,457904.0,-46357551.01,0.5603300000000001
Kacharkanahalli,957319.0,941810.0,754942.0,478860.0,475010.0,318121.0,0.9840000000000001,0.802,0.634,0.992,156808.0,0.33,0.198,0.131,0.332,40183883.0,6.56,126.32,2088006.0,19.245099391476845,478459.0,-39227725.72,0.508468
